"EconomicActivity","Dependants","LOYALTY","Housing","POLICY_ID","NAME","Industry","LeadSource","Education","Relationship","LOCATION_ID","AGE","SocialGrade"
"Full-Time","One","Platinum","Terraces","PN01-085445","Inge g MCGEE","Education","Online","Degree","Single","LOC_ID_1063","","C2"
"Part-Time","One","Silver","Detached","PN01-087428","Janett MCGEE","Retail","Online","High School","Single","LOC_ID_1063","","C2"
"Self Employed","One","Silver","Detached","PN01-106291","Lyman m MCGEE","Retail","Online","Higher Education","Single","LOC_ID_1063","","C2"
"Retired","Two","Platinum","Detached","PN02-016723","Nila N MCGEE","Retail","Online","Other","Divorced","LOC_ID_1063","","DE"
"Unemployed","Zero","Platinum","Detached","PN02-102291","Vito V MCGEE","Education","Online","Higher Education","Widowed","LOC_ID_1063","","C1"
"Full-Time Student","One","Bronze","Apartment","PN03-089265","Evelyn MITCHELL","Manufacturing","Refferal","Aprenticeship","Single","LOC_ID_1063","","DE"
"Retired","One","Platinum","Detached","PN03-092862","Flo MITCHELL","Professional, Scientific and Technical","Online","Aprenticeship","Widowed","LOC_ID_1063","","AB"
"Full-Time","One","Silver","Semi-Detached	","PN03-114903","Karma MITCHELL","Health","Online","Degree","Single","LOC_ID_1063","","DE"
"Other","One","Gold","Apartment","PN01-090150","Mona n MITCHELL","Public Administration and Defence","Retail","Degree","Single","LOC_ID_1064","","C1"
"Other","One","Gold","Apartment","PN02-053549","Ona MITCHELL","Public Administration and Defence","Online","Aprenticeship","Single","LOC_ID_1064","","DE"
"Self Employed","One","Platinum","Semi-Detached	","PN03-002045","Rana MITCHELL","Professional, Scientific and Technical","Online","Degree","Single","LOC_ID_1064","","AB"
"Full-Time","One","Silver","Semi-Detached	","PN-030600","Sherlyn MITCHELL","Health","Retail","Degree","Married","LOC_ID_1065","","C2"
"Other","One","Silver","Terraces","PN03-076868","Cristy MONROE","Manufacturing","Refferal","Aprenticeship","Married","LOC_ID_1065","","AB"
"Other","Two","Platinum","Detached","PN-002838","Else MONROE","Construction","Refferal","High School","Married","LOC_ID_1066","","C1"
"Part-Time","One","Bronze","Apartment","PN-028885","Karma K MONROE","Accommodation and Food","Online","High School","Divorced","LOC_ID_1066","","C2"
"Full-Time","One","Bronze","Detached","PN-044609","Maryann MONROE","Transportation","Retail","Degree","Single","LOC_ID_1066","","C2"
"Part-Time","One","Gold","Apartment","PN-075644","Wilbert MONROE","Public Administration and Defence","Online","Degree","Married","LOC_ID_1066","","C2"
"Part-Time","One","Platinum","Apartment","PN-078301","Alline l MONTGOMERY","Public Administration and Defence","Refferal","High School","Single","LOC_ID_1066","","C1"
"Part-Time","One","Gold","Detached","PN-085208","Charleen MONTGOMERY","Transportation","Retail","High School","Widowed","LOC_ID_1066","","DE"
"Unemployed","One","Silver","Apartment","PN-088718","Coretta MONTGOMERY","Education","Online","Degree","Single","LOC_ID_1066","","C1"
"Full-Time","Two","Gold","Apartment","PN-101418","Francine MONTGOMERY","Public Administration and Defence","Online","Aprenticeship","Divorced","LOC_ID_1066","","DE"
"Part-Time","Two","Gold","Detached","PN-102086","Gil MONTGOMERY","Accommodation and Food","Event","High School","Married","LOC_ID_1066","","C2"
"Full-Time","Three","Bronze","Apartment","PN-103465","Hildegard MONTGOMERY","Transportation","Online","Degree","Single","LOC_ID_1066","","C2"
"Full-Time","One","Silver","Apartment","PN-104715","Isiah MONTGOMERY","Energy Supply","Event","Aprenticeship","Widowed","LOC_ID_1066","","C1"
"Full-Time Student","One","Platinum","Semi-Detached	","PN-109512","Lannie L MONTGOMERY","Health","Event","Higher Education","Widowed","LOC_ID_1066","","C1"
"Full-Time","One","Platinum","Detached","PN01-014886","Otha MONTGOMERY","Retail","Refferal","High School","Single","LOC_ID_1066","","DE"
"Self Employed","Four","Bronze","Terraces","PN01-042820","Yer MONTGOMERY","Retail","Online","High School","Single","LOC_ID_1066","","DE"
"Part-Time","One","Platinum","Apartment","PN01-048498","Annabelle A MORRIS","Retail","Refferal","Higher Education","Separated","LOC_ID_1066","","DE"
"Full-Time","One","Gold","Semi-Detached	","PN01-049950","Arleen A MORRIS","Public Administration and Defence","Refferal","Higher Education","Married","LOC_ID_1066","","C1"
"Part-Time","One","Bronze","Detached","PN01-050498","Arline A MORRIS","Retail","Online","Other","Married","LOC_ID_1066","","C2"
"Full-Time","One","Gold","Terraces","PN01-061828","Delcie MORRIS","Accommodation and Food","Online","High School","Divorced","LOC_ID_1066","","C2"
"Part-Time","One","Gold","Detached","PN01-083097","Kimberly MORRIS","Professional, Scientific and Technical","Refferal","Degree","Single","LOC_ID_1066","","AB"
"Unemployed","One","Bronze","Apartment","PN01-087395","Lillian L MORRIS","Transportation","Online","Degree","Married","LOC_ID_1066","","DE"
"Unemployed","Two","Gold","Apartment","PN01-091281","Margaret MORRIS","Public Administration and Defence","Event","Aprenticeship","Single","LOC_ID_1066","","C1"
"Full-Time","One","Gold","Semi-Detached	","PN01-091873","Margarito MORRIS","Professional, Scientific and Technical","Online","Degree","Married","LOC_ID_1066","","AB"
"Other","One","Gold","Apartment","PN02-002450","Bruno o MORTON","Retail","Refferal","Higher Education","Married","LOC_ID_1066","","DE"
"Part-Time","Three","Silver","Detached","PN02-030356","Isabel MORTON","Professional, Scientific and Technical","Online","Higher Education","Divorced","LOC_ID_1066","","AB"
"Full-Time","One","Gold","Apartment","PN02-033997","Jung J MORTON","Construction","Refferal","Degree","Single","LOC_ID_1066","","C1"
"Full-Time","One","Platinum","Detached","PN02-035191","Kattie MORTON","Retail","Refferal","High School","Single","LOC_ID_1066","","DE"
"Retired","One","Platinum","Apartment","PN02-038171","Lavona MORTON","Professional, Scientific and Technical","Online","Degree","Single","LOC_ID_1066","","C1"
"Part-Time","Three","Silver","Semi-Detached	","PN02-058516","Mindy M MORTON","Retail","Retail","High School","Separated","LOC_ID_1066","","DE"
"Other","One","Bronze","Terraces","PN02-059541","Moshe M MORTON","Accommodation and Food","Online","High School","Single","LOC_ID_1066","","C2"
"Full-Time","Two","Gold","Semi-Detached	","PN02-077878","Shannan MORTON","Health","Event","Degree","Single","LOC_ID_1066","","C1"
"Full-Time","Two","Bronze","Apartment","PN02-099533","Aracelis MOSES","Accommodation and Food","Online","High School","Married","LOC_ID_1066","","DE"
"Retired","One","Bronze","Semi-Detached	","PN02-100740","Beverly B MOSES","Professional, Scientific and Technical","Online","Degree","Single","LOC_ID_1066","","AB"
"Other","One","Platinum","Detached","PN02-104975","Charmaine m MOSES","Health","Refferal","Degree","Single","LOC_ID_1066","","C1"
"Full-Time","One","Bronze","Apartment","PN02-105008","Chauncey C MOSES","Education","Online","Degree","Single","LOC_ID_1066","","C2"
"Self Employed","One","Platinum","Detached","PN02-108611","Denis MOSES","Energy Supply","Online","Higher Education","Separated","LOC_ID_1066","","C1"
"Full-Time","One","Platinum","Detached","PN02-113712","Ester MOSES","Retail","Retail","High School","Single","LOC_ID_1066","","C2"
"Retired","One","Silver","Terraces","PN03-024779","Madie M MOSES","Public Administration and Defence","Online","Higher Education","Single","LOC_ID_1066","","C2"
"Full-Time","One","Bronze","Detached","PN03-033568","Mattie MOSES","Retail","Event","High School","Divorced","LOC_ID_1066","","DE"
"Unemployed","Two","Silver","Apartment","PN03-075333","Abe MULLINS","Retail","Online","Higher Education","Married","LOC_ID_1066","","DE"
"Retired","One","Silver","Apartment","PN03-090888","Dina MULLINS","Water Supply","Online","Higher Education","Divorced","LOC_ID_1066","","AB"
"Full-Time","One","Silver","Semi-Detached	","PN03-099452","Gerri MULLINS","Education","Refferal","Degree","Single","LOC_ID_1066","","C2"
"Other","One","Gold","Apartment","PN03-112963","Lekisha MULLINS","Accommodation and Food","Retail","Higher Education","Single","LOC_ID_1066","","C2"
"Full-Time","One","Silver","Apartment","PN03-119022","Lyman L MULLINS","Retail","Online","High School","Single","LOC_ID_1066","","DE"
"Part-Time","One","Silver","Semi-Detached	","PN04-003713","Nanette MULLINS","Retail","Online","High School","Single","LOC_ID_1066","","DE"
"Full-Time Student","Two","Bronze","Apartment","PN04-030390","Valeria MULLINS","Retail","Online","High School","Single","LOC_ID_1066","","DE"
"Full-Time","Two","Gold","Apartment","PN04-030631","Vashti MULLINS","Health","Online","Other","Married","LOC_ID_1066","","C2"
"Full-Time","One","Gold","Apartment","PN04-030796","Verdell MULLINS","Transportation","Online","Degree","Single","LOC_ID_1066","","DE"
"Other","One","Bronze","Apartment","PN04-031477","Wally MULLINS","Accommodation and Food","Online","High School","Single","LOC_ID_1066","","C2"
"Self Employed","One","Gold","Detached","PN04-034581","Yuriko Y MULLINS","Accommodation and Food","Online","Higher Education","Single","LOC_ID_1066","","C2"
"Full-Time","One","Silver","Terraces","PN-028930","Craig NASH","Professional, Scientific and Technical","Online","Higher Education","Single","LOC_ID_1067","","C1"
"Retired","One","Silver","Semi-Detached	","PN-031173","Danika NASH","Construction","Retail","Aprenticeship","Divorced","LOC_ID_1067","","C1"
"Full-Time","One","Platinum","Terraces","PN-031821","Darla D NASH","Retail","Refferal","Higher Education","Single","LOC_ID_1067","","AB"
"Full-Time","Four","Bronze","Apartment","PN-061357","Jannie n NASH","Manufacturing","Online","Higher Education","Same Sex","LOC_ID_1067","","C1"
"Full-Time","Two","Bronze","Apartment","PN-062520","Jim J NASH","Public Administration and Defence","Refferal","Aprenticeship","Single","LOC_ID_1067","","DE"
"Full-Time","Two","Bronze","Detached","PN-096173","Rickey NASH","Manufacturing","Event","Higher Education","Single","LOC_ID_1067","","DE"
"Full-Time","Three","Bronze","Terraces","PN-128587","Astrid A NEWTON","Accommodation and Food","Refferal","High School","Separated","LOC_ID_1067","","C2"
"Full-Time","One","Platinum","Terraces","PN01-044948","Galina G NEWTON","Health","Refferal","Degree","Single","LOC_ID_1067","","C1"
"Full-Time","Two","Silver","Apartment","PN01-050284","Gretta NEWTON","Public Administration and Defence","Retail","Aprenticeship","Single","LOC_ID_1067","","AB"
"Full-Time","Two","Bronze","Detached","PN01-096480","Sal NEWTON","Public Administration and Defence","Online","Aprenticeship","Separated","LOC_ID_1067","","C2"
"Full-Time","One","Gold","Apartment","PN01-104292","Vanessa V NEWTON","Manufacturing","Online","Degree","Married","LOC_ID_1067","","DE"
"Part-Time","Four","Bronze","Apartment","PN01-107676","Zana Z NEWTON","Public Administration and Defence","Retail","Degree","Widowed","LOC_ID_1067","","AB"
"Full-Time","One","Gold","Detached","PN01-109888","Aisha NICHOLSON","Public Administration and Defence","Online","Higher Education","Single","LOC_ID_1067","","C1"
"Self Employed","Three","Silver","Terraces","PN02-004728","Demetrice m NICHOLSON","Health","Online","Higher Education","Single","LOC_ID_1067","","C1"
"Full-Time","One","Silver","Terraces","PN02-036196","Joey e NICHOLSON","Retail","Online","High School","Single","LOC_ID_1067","","C2"
"Full-Time","Two","Gold","Apartment","PN02-036742","Jonas J NICHOLSON","Public Administration and Defence","Event","Degree","Divorced","LOC_ID_1067","","AB"
"Part-Time","Two","Gold","Terraces","PN02-053903","Leonard NICHOLSON","Education","Online","Degree","Married","LOC_ID_1067","","C1"
"Self Employed","One","Gold","Detached","PN02-065321","Maragaret NICHOLSON","Accommodation and Food","Online","Higher Education","Divorced","LOC_ID_1067","","DE"
"Full-Time","Four","Platinum","Terraces","PN02-086292","Quinn NICHOLSON","Retail","Online","Higher Education","Single","LOC_ID_1067","","DE"
"Full-Time","One","Platinum","Detached","PN02-087335","Reuben NICHOLSON","Health","Refferal","Higher Education","Divorced","LOC_ID_1067","","C1"
"Self Employed","One","Gold","Terraces","PN03-006043","Dottie NORMAN","Public Administration and Defence","Online","Other","Divorced","LOC_ID_1067","","DE"
"Self Employed","One","Platinum","Apartment","PN03-015030","Elmo E NORMAN","Accommodation and Food","Online","High School","Single","LOC_ID_1067","","C2"
"Unemployed","Three","Bronze","Semi-Detached	","PN03-016042","Elvira NORMAN","Transportation","Online","Degree","Single","LOC_ID_1067","","DE"
"Self Employed","Three","Platinum","Detached","PN03-024864","Francine NORMAN","Professional, Scientific and Technical","Online","Degree","Single","LOC_ID_1067","","AB"
"Full-Time","One","Bronze","Apartment","PN03-036889","Hyun NORMAN","Health","Online","Degree","Single","LOC_ID_1067","","C1"
"Part-Time","One","Gold","Apartment","PN03-077639","Merissa M NORMAN","Education","Online","Other","Divorced","LOC_ID_1067","","C1"
"Part-Time","One","Platinum","Detached","PN03-090781","Rory NORMAN","Health","Retail","Degree","Divorced","LOC_ID_1067","","C2"
"Full-Time","Two","Platinum","Apartment","PN03-123768","Cassandra ODOM","Retail","Online","High School","Single","LOC_ID_1067","","C2"
"Full-Time","One","Silver","Apartment","PN04-004027","Danita ODOM","Education","Refferal","Degree","Single","LOC_ID_1067","","C1"
"Part-Time","Two","Bronze","Detached","PN04-014884","Elane ODOM","Retail","Retail","High School","Single","LOC_ID_1067","","DE"
"Other","One","Bronze","Terraces","PN04-018398","Felton ODOM","Health","Online","Degree","Divorced","LOC_ID_1067","","C1"
"Full-Time","One","Bronze","Semi-Detached	","PN04-031136","Ian ODOM","Retail","Online","Degree","Married","LOC_ID_1067","","C2"
"Full-Time","Two","Bronze","Semi-Detached	","PN01-039847","Keiko i ODOM","Retail","Refferal","High School","Single","LOC_ID_1068","","DE"
"Full-Time","One","Platinum","Detached","PN01-111533","Li ODOM","Health","Refferal","Degree","Married","LOC_ID_1068","","C1"
"Full-Time","Two","Gold","Detached","PN03-031229","Micheal ODOM","Education","Online","High School","Separated","LOC_ID_1068","","DE"
"Full-Time","Two","Gold","Detached","PN03-081382","Nery ODOM","Public Administration and Defence","Online","Other","Same Sex","LOC_ID_1068","","AB"
"Part-Time","Two","Gold","Semi-Detached	","PN03-108158","Norberto r ODOM","Education","Online","Degree","Single","LOC_ID_1068","","C1"
"Full-Time","Two","Silver","Apartment","PN-017385","Rita R ODOM","Accommodation and Food","Online","High School","Single","LOC_ID_1069","","C2"
"Part-Time","One","Gold","Apartment","PN-048449","Tena ODOM","Retail","Online","Higher Education","Married","LOC_ID_1069","","DE"
"Part-Time","One","Bronze","Apartment","PN-085779","Annabell ONEAL","Retail","Online","Higher Education","Married","LOC_ID_1069","","DE"
"Full-Time Student","Two","Platinum","Detached","PN01-000437","Dallas D ONEAL","Transportation","Online","Higher Education","Married","LOC_ID_1069","","C2"
"Unemployed","One","Bronze","Detached","PN01-122277","Luciana L ONEAL","Public Administration and Defence","Online","Degree","Single","LOC_ID_1069","","AB"
"Full-Time","One","Gold","Apartment","PN03-029892","Avery A OWENS","Water Supply","Refferal","Degree","Single","LOC_ID_1069","","C1"
"Full-Time","One","Gold","Semi-Detached	","PN03-041011","Carroll C OWENS","Education","Event","Degree","Single","LOC_ID_1069","","C2"
"Retired","One","Platinum","Terraces","PN03-079181","Elayne OWENS","Transportation","Online","High School","Single","LOC_ID_1069","","C2"
"Retired","Two","Gold","Terraces","PN04-003751","Jasper J OWENS","Professional, Scientific and Technical","Refferal","Degree","Single","LOC_ID_1069","","AB"
"Retired","One","Platinum","Detached","PN04-031741","Kattie OWENS","Retail","Online","High School","Single","LOC_ID_1069","","DE"
"Full-Time","One","Silver","Apartment","PN-003772","Kim OWENS","Health","Retail","Higher Education","Divorced","LOC_ID_107","","C2"
"Unemployed","One","Gold","Apartment","PN01-110223","Rhonda OWENS","Construction","Retail","Higher Education","Single","LOC_ID_107","","C2"
